,,,Expected,Expected,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Ast,xA,xAG,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
31,Charles De Ketelaere,3,1.9,3.0,2024-2025,23,be BEL,Atalanta,it Serie A,10,691,7.7,9,1,0,2,3,5,2,0,0,0,1.7,1.7,3.0,4.6,1.9,4.6,+0.3,+0.3,0.0,0.11,15,0.13,0.29,7,46.7,12.6,0,MFFW,2ef7c612
32,Bernardo Silva,3,1.7,2.5,2024-2025,29,pt POR,Manchester City,eng Premier League,9,727,8.1,8,1,0,0,3,3,0,0,0,0,1.3,1.3,2.5,3.7,1.7,3.7,-1.3,-1.3,+0.5,0.08,15,0.00,0.00,5,33.3,12.6,0,MFFW,3eb22ec9
33,David Neres,3,1.1,1.2,2024-2025,27,br BRA,Napoli,it Serie A,9,169,1.9,1,8,0,1,3,4,1,0,0,0,0.8,0.8,1.2,2.0,1.1,2.0,+0.2,+0.2,+1.8,0.13,6,0.17,0.33,3,50.0,18.7,0,FWMF,4f1e6a0b
34,Karim Adeyemi,3,0.6,1.7,2024-2025,22,de GER,Dortmund,de Bundesliga,5,305,3.4,4,1,0,2,3,5,2,0,0,0,0.7,0.7,1.7,2.4,0.6,2.4,+1.3,+1.3,+1.3,0.09,8,0.25,0.50,4,50.0,16.8,0,FWMF,501055d8
35,Darko Lazović,3,0.4,1.5,2024-2025,33,rs SRB,Hellas Verona,it Serie A,10,692,7.7,9,1,0,1,3,4,0,1,1,0,1.6,0.8,1.5,3.1,0.4,2.3,-0.6,-0.8,+1.5,0.08,10,0.00,0.00,1,10.0,17.5,0,MFFW,5128bde4
36,Youri Tielemans,3,2.2,2.2,2024-2025,27,be BEL,Aston Villa,eng Premier League,9,803,8.9,9,0,0,0,3,3,0,0,0,0,0.5,0.5,2.2,2.8,2.2,2.8,-0.5,-0.5,+0.8,0.06,9,0.00,0.00,2,22.2,22.5,0,MF,56f7a928
37,Moses Simon,3,1.5,1.5,2024-2025,29,ng NGA,Nantes,fr Ligue 1,8,666,7.4,8,0,0,2,3,5,1,1,1,0,1.9,1.1,1.5,3.4,1.5,2.7,+0.1,-0.1,+1.5,0.07,15,0.07,0.20,5,33.3,20.5,1,FW,5f3eaaf5
38,Marvin Ducksch,3,2.9,2.3,2024-2025,30,de GER,Werder Bremen,de Bundesliga,8,636,7.1,8,0,0,3,3,6,2,1,1,0,3.8,3.0,2.3,6.1,2.9,5.3,-0.8,-1.0,+0.7,0.11,28,0.07,0.18,11,39.3,18.9,4,FW,638a4d71
39,Osame Sahraoui,3,2.4,2.5,2024-2025,23,ma MAR,Lille,fr Ligue 1,9,574,6.4,6,3,0,0,3,3,0,0,0,0,0.4,0.4,2.5,2.9,2.4,2.9,-0.4,-0.4,+0.5,0.05,8,0.00,0.00,2,25.0,16.8,0,MFFW,6f9fa232
40,Dani Rodríguez,3,1.3,1.4,2024-2025,36,es ESP,Mallorca,es La Liga,11,590,6.6,7,4,0,2,3,5,2,0,0,0,0.9,0.9,1.4,2.3,1.3,2.3,+1.1,+1.1,+1.6,0.12,7,0.29,0.67,3,42.9,14.9,0,FWMF,70f8e0bd
41,Oliver McBurnie,3,0.5,1.6,2024-2025,28,sct SCO,Las Palmas,es La Liga,11,684,7.6,7,4,0,0,3,3,0,0,0,0,1.0,1.0,1.6,2.5,0.5,2.5,-1.0,-1.0,+1.4,0.10,10,0.00,0.00,4,40.0,12.6,0,FW,78b8ac63
42,Maximilian Mittelstädt,3,1.4,0.9,2024-2025,27,de GER,Stuttgart,de Bundesliga,8,576,6.4,6,2,0,0,3,3,0,0,0,0,0.3,0.3,0.9,1.2,1.4,1.2,-0.3,-0.3,+2.1,0.05,7,0.00,0.00,1,14.3,23.6,0,DF,88d4144a
43,Nicolas Jackson,3,0.3,1.1,2024-2025,23,sn SEN,Chelsea,eng Premier League,9,689,7.7,9,0,0,6,3,9,6,0,0,0,6.0,6.0,1.1,7.2,0.3,7.2,0.0,0.0,+1.9,0.27,22,0.27,0.50,12,54.5,11.5,0,FW,9c36ed83
44,Julian Brandt,3,2.1,1.9,2024-2025,28,de GER,Dortmund,de Bundesliga,8,651,7.2,8,0,0,0,3,3,0,0,0,0,1.2,1.2,1.9,3.1,2.1,3.1,-1.2,-1.2,+1.1,0.10,13,0.00,0.00,4,30.8,19.5,0,MF,a167537f
45,Ashley Young,3,1.0,0.7,2024-2025,39,eng ENG,Everton,eng Premier League,7,605,6.7,7,0,1,0,3,3,0,0,0,0,0.1,0.1,0.7,0.7,1.0,0.7,-0.1,-0.1,+2.3,0.06,1,0.00,0.00,1,100.0,24.8,1,DF,be927d03
46,Junya Ito,3,3.7,3.0,2024-2025,31,jp JPN,Reims,fr Ligue 1,9,783,8.7,9,0,0,2,3,5,2,0,0,0,0.8,0.8,3.0,3.8,3.7,3.8,+1.2,+1.2,0.0,0.20,4,0.50,1.00,2,50.0,9.3,0,FW,dbd3a428
47,Jadon Sancho,3,0.9,1.1,2024-2025,24,eng ENG,Chelsea,eng Premier League,5,305,3.4,4,1,1,0,3,3,0,0,0,0,0.1,0.1,1.1,1.2,0.9,1.2,-0.1,-0.1,+1.9,0.08,1,0.00,,0,0.0,15.3,0,FW,dbf053da
48,Achraf Hakimi,3,2.6,3.5,2024-2025,25,ma MAR,Paris S-G,fr Ligue 1,7,623,6.9,7,0,1,1,3,4,1,0,0,0,1.0,1.0,3.5,4.5,2.6,4.5,0.0,0.0,-0.5,0.10,10,0.10,0.50,2,20.0,19.5,3,DF,e42d61c7
49,Granit Xhaka,3,1.6,1.3,2024-2025,31,ch SUI,Leverkusen,de Bundesliga,8,720,8.0,8,0,0,1,3,4,1,0,0,0,0.3,0.3,1.3,1.7,1.6,1.7,+0.7,+0.7,+1.7,0.04,8,0.13,0.50,2,25.0,26.5,0,MF,e61b8aee
50,Mateo Retegui,3,0.5,1.2,2024-2025,25,it ITA,Atalanta,it Serie A,10,690,7.7,9,1,0,10,3,13,8,2,2,0,6.7,5.2,1.2,8.0,0.5,6.4,+3.3,+2.8,+1.8,0.14,36,0.22,0.62,13,36.1,13.2,1,FW,e7695e6c
51,Amine Harit,3,0.9,1.3,2024-2025,27,ma MAR,Marseille,fr Ligue 1,9,472,5.2,8,1,0,2,3,5,2,0,0,0,0.7,0.7,1.3,2.0,0.9,2.0,+1.3,+1.3,+1.7,0.14,5,0.40,0.67,3,60.0,18.5,0,MF,e7d59f4f
52,James Maddison,3,3.6,1.9,2024-2025,27,eng ENG,Tottenham,eng Premier League,9,669,7.4,9,0,0,2,3,5,2,0,0,0,2.3,2.3,1.9,4.1,3.6,4.1,-0.3,-0.3,+1.1,0.13,17,0.12,0.20,10,58.8,15.4,1,MF,ee38d9c5
53,Luis Henrique,3,0.8,0.8,2024-2025,22,br BRA,Marseille,fr Ligue 1,9,650,7.2,8,1,0,4,3,7,4,0,0,0,1.0,1.0,0.8,1.8,0.8,1.8,+3.0,+3.0,+2.2,0.13,8,0.50,0.80,5,62.5,15.7,0,FW,f36d5624
54,Dwight McNeil,3,3.4,2.6,2024-2025,24,eng ENG,Everton,eng Premier League,9,797,8.9,9,0,0,3,3,6,3,0,0,0,0.7,0.7,2.6,3.3,3.4,3.3,+2.3,+2.3,+0.4,0.04,16,0.19,0.43,7,43.8,20.6,0,MFFW,fc15fb84
55,Nicolás Paz,2,1.3,2.3,2024-2025,19,ar ARG,Como,it Serie A,9,680,7.6,7,2,0,1,2,3,1,0,0,0,2.1,2.1,2.3,4.4,1.3,4.4,-1.1,-1.1,-0.3,0.08,27,0.04,0.11,9,33.3,20.9,1,MFFW,01bb93d5
